interest_expense,date,total_assets,state,bank_id,gross_loans,interest_income,net_loans,charge_offs,total_deposits,id,net_interest_margin,charge_off_rate
871.0,2010-03-31,282913,WEST VIRGINIA,10002,126266,2996.0,124360,55.79483866336455,222888,10002_20100331,0.0075,0.0004
297.0,2010-03-31,78870,WISCONSIN,10004,39100,991.0,38525,63.202362398490685,60955,10004_20100331,0.0088,0.0016
268.0,2010-03-31,88052,WISCONSIN,10007,60201,1088.0,58500,73.21468799279117,79902,10007_20100331,0.0093,0.0012
794.0,2010-03-31,203973,WISCONSIN,10011,147309,2609.0,144630,81.8742251583649,176649,10011_20100331,0.0089,0.0006
368.0,2010-03-31,93506,WISCONSIN,10012,69496,1160.0,68719,88.1781553148899,77932,10012_20100331,0.0085,0.0013
293.0,2010-03-31,73747,WISCONSIN,10015,50190,993.0,49297,78.83105460941873,62535,10015_20100331,0.0095,0.0016
717.0,2010-03-31,131256,MICHIGAN,1001,95638,1531.0,95235,123.22731742663424,77284,1001_20100331,0.0062,0.0013
152.0,2010-03-31,74712,PENNSYLVANIA,10032,37465,770.0,37040,62.38736083272979,59371,10032_20100331,0.0083,0.0017
1643.0,2010-03-31,579710,ILLINOIS,10036,359256,6619.0,354537,69.54692309050357,509781,10036_20100331,0.0086,0.0002
9734.0,2010-03-31,4284802,MICHIGAN,1003,2993258,46122.0,2909103,83.72507259849364,3474590,1003_20100331,0.0085,0.0
70.0,2010-03-31,54318,INDIANA,10040,18897,499.0,18135,44.53804214352375,40718,10040_20100331,0.0079,0.0024
2851.0,2010-03-31,1266872,WISCONSIN,10044,807849,13722.0,791698,85.04112426003722,930959,10044_20100331,0.0086,0.0001
300.0,2010-03-31,84009,WEST VIRGINIA,10045,34115,959.0,33841,47.92460311840596,70613,10045_20100331,0.0078,0.0014
638.0,2010-03-31,163118,GEORGIA,10055,120262,1909.0,116770,82.47226087140768,141587,10055_20100331,0.0078,0.0007
413.0,2010-03-31,81828,GEORGIA,10057,43966,1152.0,43003,66.60522892014126,64564,10057_20100331,0.009,0.0015
4396.0,2010-03-31,1099930,MICHIGAN,1005,729483,14120.0,716496,87.27570384319763,820957,1005_20100331,0.0088,0.0001
238.0,2010-03-31,85006,GEORGIA,10072,41265,921.0,40413,54.11561483147873,74679,10072_20100331,0.008,0.0013
1266.0,2010-03-31,578096,GEORGIA,10073,442378,6781.0,434101,86.25659937965334,503267,10073_20100331,0.0095,0.0002
123.0,2010-03-31,49425,GEORGIA,10074,23779,525.0,23504,54.76362450196882,42919,10074_20100331,0.0081,0.0023
71.0,2010-03-31,27050,ILLINOIS,10075,13402,353.0,13323,56.09920417701798,23749,10075_20100331,0.0104,0.0042
88.0,2010-03-31,33393,ILLINOIS,10077,6390,284.0,6330,25.356513379266143,24964,10077_20100331,0.0059,0.004
502.0,2010-03-31,88496,ILLINOIS,10080,6273,1115.0,6161,8.49617320554368,72515,10080_20100331,0.0069,0.0014
811.0,2010-03-31,219087,ILLINOIS,10086,172405,2296.0,165905,79.47773349174108,208744,10086_20100331,0.0068,0.0005
190.0,2010-03-31,69490,MICHIGAN,1008,50246,821.0,49424,82.40080026675558,59980,1008_20100331,0.0091,0.0016
593.0,2010-03-31,143850,INDIANA,10101,107719,1709.0,106496,84.78305867367247,125610,10101_20100331,0.0078,0.0008
